"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.656538458,15.18495476,9.456370922,-1.889067562,17.98817329
3.666598458,13.61521943,7.814906046,-2.193454898,15.85112617
3.676657458,11.89588426,5.922827752,-2.219885482,13.47292998
3.686716458,10.02219896,4.00557778,-1.752445614,10.93435828
3.696775458,8.148193245,2.007792937,-0.9327045715,8.443590673
3.706834458,6.349204963,0.1360348874,-0.1162677902,6.351726329
3.716893458,4.664810414,-1.538257427,0.1933446175,4.915696721
3.726953458,3.133022054,-3.011060538,0.1853000182,4.349327402
3.737012458,1.622819275,-4.286259919,0.0330303365,4.58330203
3.747071458,-0.2846427503,-5.28314119,-0.2139484513,5.295127597
3.757130458,-2.494077504,-6.304362082,-0.7528132278,6.821446446
3.767189458,-4.850545758,-7.274933222,-1.431197248,8.860066201
3.777249458,-7.193762174,-8.219654991,-1.602233568,11.03993183
3.787308458,-9.547172334,-9.358075719,-1.173905725,13.42013917
3.797367458,-11.69093116,-10.54066807,-0.5712425637,15.75150383
3.807426458,-13.61639706,-11.7474445,-0.1698633689,17.98437029
3.817485458,-15.12545115,-12.62467303,0.1700662673,19.70255222
3.827544458,-15.72553452,-13.29560477,0.3498079222,20.59582258
3.837604458,-15.46704783,-13.62673259,0.3959091246,20.61732654
3.847663458,-14.62673745,-13.50736052,0.3853432059,19.91328014
3.857722458,-13.37547774,-13.41822907,0.3810332233,18.94986708
3.867781458,-11.59771836,-13.09038504,0.3017864943,17.49160733
3.877840458,-9.460603137,-12.42427375,0.1148814154,15.61661895
3.887899458,-7.224654769,-11.61118567,-0.0952897346,13.6756846
3.897959458,-4.841924331,-10.35896584,-0.2435429639,11.43729503
3.908018458,-2.056802252,-8.687731621,-0.3319744992,8.934054135
3.918077458,1.149169372,-6.64795149,-0.1484689915,6.748176962
3.928136458,4.742965761,-4.079242757,0.09553063989,6.256602255
3.938195458,8.102881417,-1.108482984,0.3741984129,8.186907
3.948254458,11.18220118,1.894727667,0.5989548576,11.35739244
3.958314458,13.81239456,4.709365613,0.6428230083,14.60731287
3.968373458,16.0279034,7.155464081,0.5121617121,17.56008722
3.978432458,17.74167553,9.148809133,0.1663357437,19.96235023
3.988491458,18.37896824,10.60182527,-0.3780429572,21.22093516
3.998550458,18.40463284,11.55700069,-1.116084364,21.76098387
4.008609458,18.36774626,11.71851482,-1.633981025,21.84874336
4.01866975,17.91724519,11.61388006,-1.977876828,21.44345779
4.02872875,17.03830694,10.89445736,-2.390777961,20.36440335
4.03878775,15.83409743,9.703015249,-2.478137702,18.73521585
4.04884675,14.48876538,8.265020029,-2.009821921,16.80101968
4.05890575,13.02512427,6.407507551,-1.370577993,14.58041492
4.06896475,11.47492098,4.334859636,-0.7500363851,12.28931952
4.07902475,9.964764104,2.404584407,-0.2518033254,10.25387511
4.08908375,8.479516364,0.6200241297,0.1452009827,8.503394088
4.09914275,7.043007506,-1.152438843,0.4319683188,7.149731928
4.10920175,5.657040226,-2.794507152,0.8588641781,6.367811399
4.11926075,4.480062081,-4.162804731,1.226998444,6.237421315
4.12931975,3.515015098,-5.313412811,1.392607963,6.521276238
4.13937975,2.413643205,-6.270361692,1.324269215,6.848123701
4.14943875,1.070777214,-7.195841444,1.16587399,7.367900657
4.15949775,-0.6043579772,-8.273263434,0.9343850613,8.347766878
4.16955675,-2.781339222,-9.60478495,0.4671194404,10.01029182
4.17961575,-6.28375357,-11.35972031,-0.1267243659,12.98248295
4.18967575,-10.74651579,-13.35437163,-0.6317407805,17.15301547
4.19973475,-15.00150187,-15.09962049,-0.8278862143,21.30091531
4.20979375,-18.09102327,-16.37251256,-0.4350001001,24.40355539
4.21985275,-19.23071811,-17.1975313,0.1623309857,25.79926265
4.22991175,-18.33884465,-17.31519833,0.324643845,25.22369342
4.23997075,-16.35830733,-16.78405363,0.03012953281,23.4371411
4.25003075,-13.4316917,-16.18402873,-0.4476172221,21.03647996
4.26008975,-9.870853143,-15.3406778,-1.025729679,18.27080345
4.27014875,-6.76529049,-14.23271347,-1.596629012,15.8394606
4.28020775,-4.698334548,-13.15424249,-1.954082168,14.10414407
4.29026675,-3.354066394,-12.19056755,-1.807551529,12.77211577
4.30032575,-2.018602246,-11.08378669,-1.374714898,11.34966623
4.31038575,-0.1007259275,-9.604236481,-0.8466405737,9.642007279
4.32044475,2.199371257,-7.718310628,-0.5537839472,8.044639801
4.33050375,4.564583583,-5.397827309,-0.5873943275,7.093447331
4.34056275,7.121536197,-2.736781685,-0.9135894388,7.683807484
4.35062175,9.510827796,0.3130722052,-1.10283165,9.579671039
4.36068075,11.82507681,3.439283715,-1.104218025,12.36448186
4.37074075,13.89815684,6.370749614,-1.187584702,15.33478306
4.38079975,15.75791289,8.924170802,-1.339185754,18.15891136
4.39085875,17.25831661,11.22393276,-1.596872841,20.64887798
4.40091775,18.38687835,12.78563752,-1.836909229,22.4705153
4.41097675,18.92945786,13.66191178,-2.046660257,23.434185
