"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.88375775,14.02133662,9.909339516,-4.517664648,17.75393433
4.89381675,12.79487846,8.461166047,-4.537526762,15.99654321
4.90387575,11.27511811,6.648442072,-4.234454173,13.75720439
4.91393575,9.735257966,4.563652414,-3.636115904,11.35004449
4.92399475,8.405135688,2.631712482,-2.945937758,9.28712904
4.93405375,7.356539302,0.9412742507,-2.447582199,7.80995047
4.94411275,6.483746472,-0.7108705652,-2.165202321,6.872583675
4.95417175,5.603065163,-2.230749024,-2.030857864,6.36356536
4.96423075,4.45131366,-3.641890907,-1.618655765,5.974747624
4.97428975,3.163446287,-5.113041009,-1.33646446,6.159279018
4.98434975,1.724012066,-6.395708454,-1.229081514,6.737057637
4.99440875,0.1691038156,-7.68323552,-1.44009057,7.818859572
5.00446775,-1.975158165,-8.98667169,-1.85412314,9.386122227
5.01452675,-4.88618366,-10.33257502,-2.191312478,11.63781542
5.024585708,-8.156841277,-11.93284685,-2.331136361,14.64107545
5.034644708,-11.57184677,-13.41329051,-2.049039781,17.83318715
5.044704708,-14.41171662,-14.73272408,-1.252608663,20.64751228
5.054763708,-16.34833549,-16.1693452,-0.4231969106,22.99771496
5.064822708,-17.48810868,-17.17981774,0.2419554448,24.51608911
5.074881708,-17.42699008,-17.7272025,0.4997890037,24.86369805
5.084940708,-16.00637629,-17.83429542,0.3991063821,23.96717466
5.094999708,-13.31010353,-17.62067559,0.2701916492,22.08438515
5.105059708,-9.91813022,-16.71365549,0.06213485241,19.43500573
5.115118708,-6.649703316,-15.42179739,-0.1623602217,16.79514066
5.125177708,-3.711820975,-13.68536964,-0.07418830276,14.18000216
5.135236708,-0.9684847804,-11.48268725,0.4879682726,11.53378439
5.145295708,1.966742121,-8.74755273,1.009601305,9.022585446
5.155354708,5.115833055,-5.652178851,1.264403667,7.727715719
5.165414708,8.791367086,-2.071152197,1.206044362,9.112208825
5.175473708,12.51479566,2.000891469,0.8096607354,12.69957588
5.185532708,15.82071199,6.031176658,0.3053360465,16.93408544
5.195591708,17.73400866,9.704935475,-0.1530242649,20.2164352
5.205650708,18.56652119,12.39160301,-0.6117877418,22.33028926
5.215709708,18.73824456,14.0293017,-1.037576138,23.43116897
5.225769708,18.47594314,15.30794041,-1.645206217,24.04995256
5.235828708,18.11268253,15.45539316,-2.439144959,23.93507623
5.245887708,17.55142233,14.7320879,-2.945972841,23.10336763
5.255946708,16.11776224,13.28666906,-3.208433302,21.13319376
5.266005708,14.31715077,11.2029167,-3.28183457,18.47313148
5.276064708,12.42766981,8.906999869,-3.170569072,15.61518914
5.286123708,10.35727249,6.429113013,-2.735305263,12.49353763
5.296183708,8.297729938,3.735963836,-1.841247863,9.284392366
5.306242708,6.557249481,1.183481711,-0.959905234,6.73198097
5.316301708,5.126514164,-1.084746212,-0.3993847096,5.255219307
5.326360708,3.623064626,-3.066719599,-0.0700519824,4.74723853
5.336419708,1.972687424,-4.784968942,0.04367753148,5.175841108
5.346478708,0.2037250333,-6.477826166,-0.1344444448,6.482423238
5.356538708,-2.036229701,-8.180126059,-0.5848116124,8.450011737
5.366597708,-4.775427163,-9.39629312,-1.114910243,10.59896475
5.376656708,-7.519300643,-10.57206995,-1.705905871,13.08505484
5.386715708,-10.42634565,-11.84988538,-2.377998871,15.96193427
5.396774708,-13.40370693,-13.44259793,-2.851919208,19.19625593
5.406833708,-16.16408271,-15.62486535,-2.930230383,22.67157333
5.416893708,-18.44157672,-17.8563862,-2.73556371,25.8152201
5.426952708,-20.25789848,-19.54458846,-2.282107458,28.24148373
5.437011708,-20.46595879,-20.03382382,-1.409237444,28.67395188
5.447070708,-18.0762345,-19.88676869,-0.4253562874,26.87777428
